chapter,chapter_file,theorem_group,theorem_ids_or_scope,code_anchors,artifact_paths,token_or_claim,status
ch24,chapters/ch24_conditional_coverage_subgroups.tex,B,conditional coverage,scripts/run_reliability_group_audit.py;scripts/run_mondrian_subgroup_eval.py,reports/calibration/reliability_group_audit.csv;reports/calibration/mondrian_subgroup_eval.csv,TBL_CONDITIONAL_COVERAGE,locked
ch25,chapters/ch25_regional_decomposition_real_prices.tex,empirical,regional grounding,scripts/package_regional_grounding_outputs.py;scripts/run_transfer_study.py,reports/publication/per_ba_dispatch_impact.csv;reports/publication/real_price_grounding_runs.csv;reports/publication/regional_grounding_manifest.json,TBL_REGIONAL_GROUNDING,locked
ch26,chapters/ch26_asset_preservation_aging_proxy.tex,C,aging calibration,scripts/run_aging_proxy_analysis.py,reports/aging/asset_preservation_proxy_table.csv,TBL_ASSET_PRESERVATION,partial_proxy
ch27,chapters/ch27_hardware_in_loop_validation.tex,runtime,HIL rehearsal,scripts/run_hil_trial.py;scripts/make_hil_tables.py,reports/hil/hil_summary.json;reports/hil/hil_hardware_table.csv;reports/hil/hil_timing_table.csv,TBL_HIL_EVIDENCE,locked
ch28,chapters/ch28_certificate_half_life_blackout.tex,B,blackout hold,scripts/run_blackout_half_life.py,reports/blackout/blackout_study.csv;reports/blackout/fig_blackout_halflife.png,FIG_BLACKOUT_HOLD,locked
ch29,chapters/ch29_graceful_degradation_safe_landing.tex,C,safe landing,src/orius/dc3s/shield.py;scripts/run_graceful_degradation.py,reports/blackout/graceful_degradation_trace.csv;reports/blackout/graceful_degradation_trace.png,FIG_GRACEFUL_LANDING,locked
ch30,chapters/ch30_orius_bench_battery_track.tex,E,benchmark formalization,scripts/generate_priority3_artifacts.py,reports/publication/orius_bench_battery_leaderboard.csv;reports/publication/battery_rank_reversal.csv,TBL_ORIUS_BENCH,locked
ch31,chapters/ch31_compositional_safety_battery_fleets.tex,E,bounded fleet coordination,scripts/run_two_battery_fleet.py;src/orius/multi_agent/scenarios.py,reports/fleet/protocol_compare.csv;reports/fleet/fleet_composition_two_battery.csv;reports/fleet/two_battery_composition_metrics.csv,TBL_FLEET_COORDINATION,locked
ch32,chapters/ch32_adversarial_robustness_active_probing.tex,extension,active probing,scripts/run_spoofing_attack.py;scripts/run_active_probe_eval.py;scripts/make_probing_figures.py,reports/probing/spoofing_attack_results.csv;reports/probing/probing_detection_quality.png,TBL_PROBING_RESULTS,locked
ch33,chapters/ch33_what_battery_thesis_proves.tex,closing,strict defended core,reports/publication/defended_theorem_core.json,reports/publication/defended_theorem_core.json,CLOSING_SCOPE_PROVES,locked
ch34,chapters/ch34_outside_current_evidence.tex,closing,scope boundary,reports/publication/active_theorem_audit.json,reports/publication/active_theorem_audit.json,CLOSING_SCOPE_BOUNDARY,locked
ch35,chapters/ch35_deployment_path_verification_discipline.tex,closing,verification discipline,reports/publication/phase3_rebuild_battery_evidence_manifest.json,reports/publication/phase3_rebuild_battery_evidence_manifest.json,CLOSING_VERIFICATION,locked
ch36,chapters/ch36_conclusion.tex,closing,battery conclusion,reports/publication/phase0_lock_current_truth_manifest.json,reports/publication/phase0_lock_current_truth_manifest.json,CLOSING_CONCLUSION,locked
