severity,blocking,source_type,path,table,column,row_index,issue,value,detail,recommendation
error,True,tex,paper/assets/tables/generated/tbl_healthcare_leaderboard.tex,not_applicable,not_applicable,9,rendered_placeholder_cell,\textbf{1} & \textbf{DC3S} & 0.0000 & --- & 0.000 \\,not_applicable,Render an explicit semantic value in the table cell.
error,True,tex,paper/assets/tables/generated/tbl_constraint_satisfaction.tex,not_applicable,not_applicable,18,rendered_placeholder_cell,\textbf{Promoted surface} & Battery + AV + Healthcare constraints & \textbf{100\%} & --- & --- \\,not_applicable,Render an explicit semantic value in the table cell.
warning,False,csv,reports/publication/cross_region_transfer.csv,not_applicable,intervention_rate,not_applicable,all_zero_metric_review,not_applicable,96 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/cross_region_transfer.csv,not_applicable,grid_import_violation_rate,not_applicable,all_zero_metric_review,not_applicable,96 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/runtime_summary.csv,not_applicable,recovery_latency,not_applicable,all_zero_metric_review,not_applicable,4 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/fault_family_coverage.csv,not_applicable,coverage,not_applicable,all_zero_metric_review,not_applicable,12 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/certificate_half_life_blackout.csv,not_applicable,violations,not_applicable,all_zero_metric_review,not_applicable,4 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,csv,reports/publication/domain_runtime_contract_witnesses.csv,not_applicable,failed_obligations,27,placeholder_or_blank_cell,not_applicable,50/75 rows contain missing/placeholder values.,Use no_failed_obligations for passing rows.
error,True,csv,reports/publication/domain_runtime_contract_witnesses.csv,not_applicable,failure_reason,27,placeholder_or_blank_cell,none,50/75 rows contain missing/placeholder values.,Use no_failure or a concrete failure reason.
error,True,csv,reports/publication/active_theorem_audit.csv,not_applicable,assumptions_used,11,placeholder_or_blank_cell,not_applicable,19/29 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/active_theorem_audit.csv,not_applicable,typed_obligations,2,placeholder_or_blank_cell,not_applicable,8/29 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/active_theorem_audit.csv,not_applicable,unresolved_assumptions,2,placeholder_or_blank_cell,not_applicable,29/29 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/battery_deep_oqe_summary.csv,not_applicable,heuristic,3,placeholder_or_blank_cell,not_applicable,2/5 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
warning,False,csv,reports/publication/battery_deep_oqe_safety_metrics.csv,not_applicable,true_soc_violation_rate,not_applicable,all_zero_metric_review,not_applicable,12 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/battery_deep_oqe_safety_metrics.csv,not_applicable,recovery_latency,not_applicable,all_zero_metric_review,not_applicable,12 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,csv,reports/publication/utility_preserving_safety_scorecard.csv,not_applicable,orius_intervention_rate,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/utility_preserving_safety_scorecard.csv,not_applicable,safety_reference_intervention_rate,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/utility_preserving_safety_scorecard.csv,not_applicable,intervention_reduction_vs_safety_reference,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/utility_preserving_safety_scorecard.csv,not_applicable,orius_fallback_rate,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/utility_preserving_safety_scorecard.csv,not_applicable,safety_reference_fallback_rate,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/utility_preserving_safety_scorecard.csv,not_applicable,fallback_reduction_vs_safety_reference,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/theorem_promotion_gates.csv,not_applicable,blocker,2,placeholder_or_blank_cell,not_applicable,24/24 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/orius_maturity_matrix.csv,not_applicable,blocker,2,placeholder_or_blank_cell,none,3/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/chapters40_44_domain_evidence_register.csv,not_applicable,blocker,2,placeholder_or_blank_cell,none,3/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/utility_preserving_safety_scorecard.json,not_applicable,rows.0.orius_intervention_rate,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/utility_preserving_safety_scorecard.json,not_applicable,rows.0.safety_reference_intervention_rate,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/utility_preserving_safety_scorecard.json,not_applicable,rows.0.intervention_reduction_vs_safety_reference,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/utility_preserving_safety_scorecard.json,not_applicable,rows.0.orius_fallback_rate,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/utility_preserving_safety_scorecard.json,not_applicable,rows.0.safety_reference_fallback_rate,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/utility_preserving_safety_scorecard.json,not_applicable,rows.0.fallback_reduction_vs_safety_reference,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
warning,False,csv,reports/publication/cross_region_transfer_summary.csv,not_applicable,intervention_rate_mean,not_applicable,all_zero_metric_review,not_applicable,32 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/cross_region_transfer_summary.csv,not_applicable,intervention_rate_std,not_applicable,all_zero_metric_review,not_applicable,32 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/ablation_table.csv,not_applicable,grid_import_violation_rate,not_applicable,all_zero_metric_review,not_applicable,576 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/battery_reliability_baselines_summary.csv,not_applicable,hidden_gap_rate,not_applicable,all_zero_metric_review,not_applicable,5 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,json,reports/publication/three_domain_utility_safety_dominance.json,not_applicable,rows.1.orius_progress_total,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/three_domain_utility_safety_dominance.json,not_applicable,rows.1.orius_near_miss_rate,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/three_domain_utility_safety_dominance.json,not_applicable,rows.1.orius_collision_proxy_rate,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/three_domain_utility_safety_dominance.json,not_applicable,rows.1.orius_mean_abs_jerk,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
warning,False,csv,reports/publication/table2_ablations.csv,not_applicable,true_soc_violation_rate_wilcoxon_stat,not_applicable,all_zero_metric_review,not_applicable,9 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/table2_ablations.csv,not_applicable,true_soc_violation_severity_p95_wilcoxon_stat,not_applicable,all_zero_metric_review,not_applicable,9 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.0.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.0.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.1.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.1.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.2.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.2.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.3.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.3.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.calibration.metrics.mean_interval_width,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.calibration.metrics.picp_90,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.generalization.metrics.test_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.generalization.metrics.validation_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.6.gates.generalization.metrics.validation_test_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.7.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.7.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.calibration.metrics.mean_interval_width,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.calibration.metrics.picp_90,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.generalization.metrics.test_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.generalization.metrics.validation_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.8.gates.generalization.metrics.validation_test_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.calibration.metrics.mean_interval_width,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.calibration.metrics.picp_90,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.generalization.metrics.test_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.generalization.metrics.validation_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.10.gates.generalization.metrics.validation_test_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.11.gates.calibration.metrics.mean_interval_width,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.11.gates.calibration.metrics.picp_90,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.11.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.11.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.calibration.metrics.mean_interval_width,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.calibration.metrics.picp_90,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.generalization.metrics.test_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.generalization.metrics.validation_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.12.gates.generalization.metrics.validation_test_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.calibration.metrics.mean_interval_width,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.calibration.metrics.picp_90,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.generalization.metrics.test_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.generalization.metrics.train_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.generalization.metrics.train_validation_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.generalization.metrics.validation_rmse,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/model_quality_gate.json,not_applicable,models.14.gates.generalization.metrics.validation_test_rmse_ratio,not_applicable,placeholder_or_null_value,null,not_applicable,Replace with an explicit semantic value such as not_applicable.
warning,False,csv,reports/publication/fault_performance_packet_drop.csv,not_applicable,violations,not_applicable,all_zero_metric_review,not_applicable,5 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,csv,reports/publication/orius_failure_modes_falsification_table.csv,not_applicable,not_applicable,not_applicable,csv_read_error,not_applicable,"Error tokenizing data. C error: Expected 4 fields in line 4, saw 6
",Repair CSV syntax or regenerate the artifact.
warning,False,csv,reports/publication/battery_deep_oqe_fault_family_coverage.csv,not_applicable,coverage,not_applicable,all_zero_metric_review,not_applicable,12 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/battery_deep_oqe_runtime_summary.csv,not_applicable,recovery_latency,not_applicable,all_zero_metric_review,not_applicable,4 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.L1.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.L2.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.L3.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.L4.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T1.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T10.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T10_T11_ObservationAmbiguitySandwich.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T11.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T11_AV_BrakeHold.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T11_Byzantine.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T11_HC_FailSafeRelease.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T2.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T3a.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T3b.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T4.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T5.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T6.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T6_AV_FallbackValidity.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T6_HC_FallbackValidity.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T7.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T8.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T9.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_EQ_AV_RuntimeArtifactPackage.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_EQ_Battery_RuntimeArtifactPackage.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_EQ_HC_RuntimeArtifactPackage.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_minimax.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_sensor_converse.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_stale_decay.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,json,reports/publication/mechanized_theorem_program_status.json,not_applicable,theorems.T_trajectory_PAC.blocker,not_applicable,placeholder_or_null_value,not_applicable,not_applicable,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/three_domain_proxy_runtime_comparison.csv,not_applicable,proxy_baseline_tsvr,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
error,True,csv,reports/publication/three_domain_proxy_runtime_comparison.csv,not_applicable,proxy_orius_tsvr,2,placeholder_or_blank_cell,not_applicable,1/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
warning,False,csv,reports/publication/dc3s_main_table.csv,not_applicable,grid_import_violation_rate,not_applicable,all_zero_metric_review,not_applicable,240 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
warning,False,csv,reports/publication/sensitivity_grid.csv,not_applicable,grid_import_violation_rate,not_applicable,all_zero_metric_review,not_applicable,1296 numeric values are all zero.,Review for semantic zero vs. placeholder zero; not blocking.
error,True,csv,reports/publication/equal_domain_artifact_discipline.csv,not_applicable,blockers,2,placeholder_or_blank_cell,not_applicable,3/3 rows contain missing/placeholder values.,Replace with an explicit semantic value such as not_applicable.
